File,Source_Contract,Source_Function,Target_Contract,Chain
BaseParaSwapBuyAdapter.sol,BaseParaSwapBuyAdapter,constructor,BaseParaSwapBuyAdapter,No Chain
BaseParaSwapBuyAdapter.sol,BaseParaSwapBuyAdapter,_buyOnParaSwap,BaseParaSwapBuyAdapter,No chain
BaseParaSwapBuyAdapter.sol,BaseParaSwapBuyAdapter,_buyOnParaSwap,BaseParaSwapBuyAdapter,No chain
BaseParaSwapBuyAdapter.sol,BaseParaSwapBuyAdapter,_buyOnParaSwap,BaseParaSwapBuyAdapter,No chain
BaseParaSwapBuyAdapter.sol,BaseParaSwapBuyAdapter,_buyOnParaSwap,BaseParaSwapBuyAdapter,No chain
BaseParaSwapBuyAdapter.sol,BaseParaSwapBuyAdapter,_buyOnParaSwap,BaseParaSwapBuyAdapter,No chain
BaseParaSwapBuyAdapter.sol,BaseParaSwapBuyAdapter,_buyOnParaSwap,BaseParaSwapBuyAdapter,No chain
BaseParaSwapBuyAdapter.sol,BaseParaSwapBuyAdapter,_buyOnParaSwap,BaseParaSwapBuyAdapter,No chain
BaseParaSwapBuyAdapter.sol,BaseParaSwapBuyAdapter,_buyOnParaSwap,BaseParaSwapBuyAdapter,No chain
BaseParaSwapBuyAdapter.sol,BaseParaSwapBuyAdapter,_buyOnParaSwap,BaseParaSwapBuyAdapter,No chain
BaseParaSwapBuyAdapter.sol,BaseParaSwapBuyAdapter,_buyOnParaSwap,None,Bought
BaseParaSwapSellAdapter.sol,BaseParaSwapSellAdapter,constructor,BaseParaSwapSellAdapter,No Chain
BaseParaSwapSellAdapter.sol,BaseParaSwapSellAdapter,_sellOnParaSwap,BaseParaSwapSellAdapter,No chain
BaseParaSwapSellAdapter.sol,BaseParaSwapSellAdapter,_sellOnParaSwap,BaseParaSwapSellAdapter,No chain
BaseParaSwapSellAdapter.sol,BaseParaSwapSellAdapter,_sellOnParaSwap,BaseParaSwapSellAdapter,No chain
BaseParaSwapSellAdapter.sol,BaseParaSwapSellAdapter,_sellOnParaSwap,BaseParaSwapSellAdapter,No chain
BaseParaSwapSellAdapter.sol,BaseParaSwapSellAdapter,_sellOnParaSwap,BaseParaSwapSellAdapter,No chain
BaseParaSwapSellAdapter.sol,BaseParaSwapSellAdapter,_sellOnParaSwap,BaseParaSwapSellAdapter,No chain
BaseParaSwapSellAdapter.sol,BaseParaSwapSellAdapter,_sellOnParaSwap,BaseParaSwapSellAdapter,No chain
BaseParaSwapSellAdapter.sol,BaseParaSwapSellAdapter,_sellOnParaSwap,BaseParaSwapSellAdapter,No chain
BaseParaSwapSellAdapter.sol,BaseParaSwapSellAdapter,_sellOnParaSwap,BaseParaSwapSellAdapter,No chain
BaseParaSwapSellAdapter.sol,BaseParaSwapSellAdapter,_sellOnParaSwap,None,Swapped
ParaSwapRepayAdapter.sol,ParaSwapRepayAdapter,constructor,ParaSwapRepayAdapter,No Chain
ParaSwapRepayAdapter.sol,ParaSwapRepayAdapter,executeOperation,ParaSwapRepayAdapter,nonReentrant
ParaSwapRepayAdapter.sol,ParaSwapRepayAdapter,swapAndRepay,ParaSwapRepayAdapter,nonReentrant
BaseParaSwapAdapter.sol,BaseParaSwapAdapter,constructor,BaseParaSwapAdapter,No Chain
BaseParaSwapAdapter.sol,BaseParaSwapAdapter,_pullATokenAndWithdraw,BaseParaSwapAdapter,No chain
BaseParaSwapAdapter.sol,BaseParaSwapAdapter,_pullATokenAndWithdraw,BaseParaSwapAdapter,No chain
BaseParaSwapAdapter.sol,BaseParaSwapAdapter,_pullATokenAndWithdraw,BaseParaSwapAdapter,No chain
BaseParaSwapAdapter.sol,BaseParaSwapAdapter,_pullATokenAndWithdraw,BaseParaSwapAdapter,No chain
BaseParaSwapAdapter.sol,BaseParaSwapAdapter,_pullATokenAndWithdraw,BaseParaSwapAdapter,No chain
BaseParaSwapAdapter.sol,BaseParaSwapAdapter,_pullATokenAndWithdraw,BaseParaSwapAdapter,No chain
BaseParaSwapAdapter.sol,BaseParaSwapAdapter,_pullATokenAndWithdraw,BaseParaSwapAdapter,No chain
BaseParaSwapAdapter.sol,BaseParaSwapAdapter,_pullATokenAndWithdraw,BaseParaSwapAdapter,No chain
BaseParaSwapAdapter.sol,BaseParaSwapAdapter,_pullATokenAndWithdraw,BaseParaSwapAdapter,No chain
BaseParaSwapAdapter.sol,BaseParaSwapAdapter,_pullATokenAndWithdraw,BaseParaSwapAdapter,No chain
BaseParaSwapAdapter.sol,BaseParaSwapAdapter,_pullATokenAndWithdraw,BaseParaSwapAdapter,No chain
BaseParaSwapAdapter.sol,BaseParaSwapAdapter,rescueTokens,BaseParaSwapAdapter,No chain
BaseParaSwapAdapter.sol,BaseParaSwapAdapter,rescueTokens,BaseParaSwapAdapter,No chain
BaseParaSwapAdapter.sol,BaseParaSwapAdapter,rescueTokens,BaseParaSwapAdapter,No chain
BaseParaSwapAdapter.sol,BaseParaSwapAdapter,rescueTokens,BaseParaSwapAdapter,onlyOwner
ParaSwapLiquiditySwapAdapter.sol,ParaSwapLiquiditySwapAdapter,constructor,ParaSwapLiquiditySwapAdapter,No Chain
ParaSwapLiquiditySwapAdapter.sol,ParaSwapLiquiditySwapAdapter,executeOperation,ParaSwapLiquiditySwapAdapter,nonReentrant
