StandardBondingCalculator.sol,FixedPoint,fraction,FixedPoint,->uq112x112(0)
StandardBondingCalculator.sol,FixedPoint,fraction,FullMath,"->mulDiv(numerator,Q112,denominator)"
StandardBondingCalculator.sol,FixedPoint,fraction,FullMath,"->mulDiv(numerator,Q112,denominator);"
StandardBondingCalculator.sol,FixedPoint,sqrt,BitMath,->mostSignificantBit(self->_x)
StandardBondingCalculator.sol,FixedPoint,sqrt,Babylonian,->sqrt(uint256(self->_x)<<safeShiftBits)<<((112-safeShiftBits)/2)))
StandardBondingCalculator.sol,FixedPoint,sqrt,Babylonian,->sqrt(uint256(self->_x)<<112)))
StandardBondingCalculator.sol,FixedPoint,sqrt,BitMath,->mostSignificantBit(self->_x);
StandardBondingCalculator.sol,SGTBondingCalculator,getKValue,IERC20,->token0())->decimals()
StandardBondingCalculator.sol,SGTBondingCalculator,getKValue,IERC20,->token1())->decimals()
StandardBondingCalculator.sol,SGTBondingCalculator,getKValue,IERC20,->add(token1)->sub(IERC20(_pair)->decimals())
StandardBondingCalculator.sol,SGTBondingCalculator,getKValue,IUniswapV2Pair,->getReserves()
StandardBondingCalculator.sol,SGTBondingCalculator,getKValue,IERC20,->token0())->decimals();
StandardBondingCalculator.sol,SGTBondingCalculator,getKValue,IERC20,->token1())->decimals();
StandardBondingCalculator.sol,SGTBondingCalculator,getKValue,IERC20,->add(token1)->sub(IERC20(_pair)->decimals());
StandardBondingCalculator.sol,SGTBondingCalculator,getKValue,IUniswapV2Pair,->getReserves();
StandardBondingCalculator.sol,SGTBondingCalculator,valuation,IUniswapV2Pair,->totalSupply()
StandardBondingCalculator.sol,SGTBondingCalculator,valuation,FixedPoint,"->mul(FixedPoint->fraction(amount_,totalSupply)->decode112with18())->div(1e18)"
StandardBondingCalculator.sol,SGTBondingCalculator,valuation,IUniswapV2Pair,->totalSupply();
StandardBondingCalculator.sol,SGTBondingCalculator,markdown,IUniswapV2Pair,->getReserves()
StandardBondingCalculator.sol,SGTBondingCalculator,markdown,IERC20,->mul(2*(10**IERC20(SGT)->decimals()))->div(getTotalValue(_pair))
StandardBondingCalculator.sol,SGTBondingCalculator,markdown,IUniswapV2Pair,->getReserves();
StandardBondingCalculator.sol,SGTBondingCalculator,markdown,IUniswapV2Pair,->token0()
sSGTERC20.sol,Address,sendValue,Address,No chain
sSGTERC20.sol,Address,sendValue,Address,No chain
sSGTERC20.sol,Address,functionCallWithValue,Address,No chain
sSGTERC20.sol,Address,functionCallWithValue,Address,No chain
sSGTERC20.sol,ERC20,transferFrom,ERC20,No chain
sSGTERC20.sol,ERC20,decreaseAllowance,ERC20,No chain
sSGTERC20.sol,ERC20,_transfer,ERC20,No chain
sSGTERC20.sol,ERC20,_transfer,IERC20,Transfer
sSGTERC20.sol,ERC20,_mint,IERC20,Transfer
sSGTERC20.sol,ERC20,_burn,ERC20,No chain
sSGTERC20.sol,ERC20,_burn,IERC20,Transfer
sSGTERC20.sol,ERC20,_approve,IERC20,Approval
sSGTERC20.sol,Counters,current,Counters,No chain
sSGTERC20.sol,Counters,increment,Counters,No chain
sSGTERC20.sol,Counters,decrement,Counters,No chain
sSGTERC20.sol,ERC20Permit,constructor,ERC20Permit,No chain
sSGTERC20.sol,ERC20Permit,constructor,ERC20Permit,No chain
sSGTERC20.sol,Ownable,constructor,Ownable,OwnershipPushed
sSGTERC20.sol,Ownable,renounceManagement,Ownable,onlyManager
sSGTERC20.sol,Ownable,renounceManagement,Ownable,OwnershipPushed
sSGTERC20.sol,Ownable,pushManagement,Ownable,onlyManager
sSGTERC20.sol,Ownable,pushManagement,Ownable,OwnershipPushed
sSGTERC20.sol,Ownable,pullManagement,Ownable,No chain
sSGTERC20.sol,Ownable,pullManagement,Ownable,OwnershipPulled
sSGTERC20.sol,sSGT,constructor,ERC20,No Chain
sSGTERC20.sol,sSGT,constructor,ERC20Permit,No Chain
sSGTERC20.sol,sSGT,initialize,IERC20,Transfer
sSGTERC20.sol,sSGT,initialize,sSGT,LogStakingContractUpdated
sSGTERC20.sol,sSGT,setIndex,Ownable,onlyManager
sSGTERC20.sol,sSGT,rebase,sSGT,onlyStakingContract
sSGTERC20.sol,sSGT,rebase,sSGT,LogSupply
sSGTERC20.sol,sSGT,rebase,sSGT,LogRebase
sSGTERC20.sol,sSGT,_storeRebase,sSGT,LogSupply
sSGTERC20.sol,sSGT,_storeRebase,sSGT,LogRebase
sSGTERC20.sol,sSGT,transfer,IERC20,Transfer
sSGTERC20.sol,sSGT,transferFrom,IERC20,Approval
sSGTERC20.sol,sSGT,transferFrom,IERC20,Transfer
sSGTERC20.sol,sSGT,approve,IERC20,Approval
sSGTERC20.sol,sSGT,_approve,IERC20,Approval
sSGTERC20.sol,sSGT,increaseAllowance,IERC20,Approval
sSGTERC20.sol,sSGT,decreaseAllowance,IERC20,Approval
SGTERC20.sol,EnumerableSet,_at,EnumerableSet,No chain
SGTERC20.sol,ERC20,transferFrom,ERC20,No chain
SGTERC20.sol,ERC20,decreaseAllowance,ERC20,No chain
SGTERC20.sol,ERC20,_transfer,ERC20,No chain
SGTERC20.sol,ERC20,_transfer,IERC20,Transfer
SGTERC20.sol,ERC20,_mint,IERC20,Transfer
SGTERC20.sol,ERC20,_burn,ERC20,No chain
SGTERC20.sol,ERC20,_burn,IERC20,Transfer
SGTERC20.sol,ERC20,_approve,IERC20,Approval
SGTERC20.sol,Counters,current,Counters,No chain
SGTERC20.sol,Counters,increment,Counters,No chain
SGTERC20.sol,Counters,decrement,Counters,No chain
